participant,line_num,label,image_clicked,trial_start_time,context_start_time,context_end_time,target_start_time,target_audio_start_time,target_audio_end_time,mouse_move,mouse_start_time,mouse_end_time,question_answer_time,trial_end_time
,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
01A,172,Trial: 1,target,278735.4,279735.0,300556.2,300768.8,300796.0,303242.1,0,300769.2,306464.9,309560.6,309563.1
01A,358,Trial: 2,target,395157.1,396157.0,419212.2,419575.7,419611.0,421704.0,0,419576.1,423505.5,426625.4,426627.8
01A,534,Trial: 3,target,430200.4,431200.0,456275.1,456320.2,456352.0,459028.1,0,456320.6,462745.2,465648.3,465650.7
01A,710,Trial: 4,target,482273.3,483273.0,501590.0,501921.5,501954.0,504296.1,0,501921.9,505215.7,507337.0,507339.5
01A,901,Trial: 5,target,509243.7,510243.0,541234.1,542469.0,542496.0,544471.0,0,542469.3,545584.3,547751.8,547754.3
01A,1080,Trial: 6,target,549641.1,550641.0,573756.2,574143.0,574177.0,576207.0,0,574143.4,577127.0,581056.7,581059.4
01A,1277,Trial: 7,target,583166.5,584166.0,603418.1,604065.7,604098.0,606215.0,0,604066.1,607655.3,611062.8,611065.3
01A,1502,Trial: 8,target,614440.3,615440.0,636314.2,636657.1,636689.0,639021.0,0,636657.5,640503.6,643318.9,643330.6
01A,1702,Trial: 9,target,646231.1,647231.0,667119.2,667480.5,667511.0,670361.0,0,667480.9,672616.1,675406.6,675409.0
01A,1824,Trial: 10,target,679039.3,680039.0,714014.1,714366.1,714402.0,716511.0,0,714366.5,717286.5,719742.6,719745.3
01A,1977,Trial: 11,target,721988.6,722988.0,739320.1,739802.1,739833.0,741823.0,0,739802.5,742470.6,744453.7,744457.1
01A,2154,Trial: 12,target,746207.0,747207.0,766949.2,767339.7,767374.0,769642.0,0,767340.0,770637.7,774190.8,774196.6
01A,2317,Trial: 13,target,776613.4,777613.0,799903.1,800281.4,800316.0,802068.0,0,800281.7,803095.3,805358.0,805360.5
01A,2567,Trial: 14,target,807603.6,808603.0,828724.1,829253.4,829287.0,831743.0,0,829253.7,832533.7,837237.8,837240.3
01A,2711,Trial: 15,target,839744.7,840744.0,867621.1,867999.4,868028.0,870840.0,0,867999.8,871509.1,873708.9,873711.3
01A,3027,Trial: 16,target,876005.5,877005.0,903469.2,903810.0,903840.0,905847.1,0,903810.3,907805.5,912301.3,912303.8
01A,3199,Trial: 17,target,914718.3,915718.0,931515.1,931864.6,931901.0,934675.0,0,931865.0,935325.5,940781.8,940784.4
01A,3338,Trial: 18,target,944324.1,945324.0,964679.2,965073.1,965102.0,967183.0,0,965073.5,969005.7,972596.8,972599.3
01A,3491,Trial: 19,target,974813.9,975813.0,992085.1,992410.6,992443.0,994470.0,0,992410.9,995582.2,999548.8,999551.1
01A,3710,Trial: 20,target,1.002051e6,1.003051e6,1.023096e6,1.023467e6,1.023495e6,1.025795e6,0,1.023467e6,1.027772e6,1.029988e6,1.029991e6
01A,3884,Trial: 21,target,1.040263e6,1.041263e6,1.05977e6,1.060195e6,1.060226e6,1.063099e6,0,1.060195e6,1.063997e6,1.066932e6,1.066935e6
01A,4122,Trial: 22,target,1.069786e6,1.070786e6,1.095517e6,1.095839e6,1.095867e6,1.097798e6,0,1.095839e6,1.0991e6,1.102043e6,1.102046e6
01A,4321,Trial: 23,target,1.103945e6,1.104945e6,1.133436e6,1.133834e6,1.133869e6,1.135705e6,0,1.133835e6,1.136628e6,1.139227e6,1.139229e6
01A,4447,Trial: 24,target,1.141407e6,1.142407e6,1.159795e6,1.160221e6,1.16025e6,1.162812e6,0,1.160221e6,1.164156e6,1.167156e6,1.167161e6
01A,4620,Trial: 25,target,1.169528e6,1.170528e6,1.190753e6,1.191178e6,1.191211e6,1.193147e6,0,1.191178e6,1.193267e6,1.195995e6,1.196e6
01A,4753,Trial: 26,target,1.197816e6,1.198816e6,1.212872e6,1.213244e6,1.213272e6,1.215874e6,0,1.213245e6,1.217059e6,1.218883e6,1.218885e6
01A,4912,Trial: 27,target,1.220817e6,1.221817e6,1.251949e6,1.252357e6,1.252394e6,1.255202e6,0,1.252358e6,1.255756e6,1.258771e6,1.258774e6
01A,5112,Trial: 28,target,1.260614e6,1.261614e6,1.278625e6,1.279411e6,1.279445e6,1.282441e6,0,1.279412e6,1.283611e6,1.287235e6,1.287238e6
01A,5425,Trial: 29,target,1.289753e6,1.290753e6,1.306704e6,1.307049e6,1.307086e6,1.309197e6,0,1.307049e6,1.309483e6,1.31613e6,1.316132e6
01A,5554,Trial: 30,target,1.318358e6,1.319358e6,1.337089e6,1.337489e6,1.337517e6,1.339439e6,0,1.337489e6,1.34117e6,1.343025e6,1.343028e6
01A,5780,Trial: 31,target,1.345845e6,1.346845e6,1.372274e6,1.372632e6,1.372668e6,1.374665e6,0,1.372632e6,1.375819e6,1.380011e6,1.380013e6
01A,5953,Trial: 32,target,1.386142e6,1.387142e6,1.408941e6,1.409343e6,1.40938e6,1.411485e6,0,1.409344e6,1.412409e6,1.41597e6,1.415973e6
